更新日時,20190712185502
22397161330,"これからドライブ可能ですか？ 対応します。 田中さんご連絡いただきありがとうございます。CREWの宮崎です。本日、現在の時間から27時まで参加枠に余裕がございますので、ぜひご参加ください。今日も安全運転でよろしくお願いいたします。お気をつけて行ってらっしゃいませ。 ※シフトの確認をお願いします※　本日の70行目です。 了解しました 確認OKです ありがとうございます！ 田中さんこんばんは。CREWの宮崎です。
本日もご参加いただきありがとうございました。お気をつけてお帰りください。ごゆっくりお休みくださいませ。お疲れ様でした。"
22398171364,"大至急ご対応願います。マッチングで渋谷にいますが、電話もチャットも通じません。どうすればいいでしょうか。 今どちらですか?私は宮益坂の上のほうにいますが。 対応します https://api.crewcrew.jp/admin/car_allocations/192702 ありがとうございます。 到着ボタン押された 松本さん
ご連絡ありがとうございます、CREWの坂口です。ただ今こちらで合流地点に到着されたことを確認いたしました。再度、CREWライダーの方とご連絡を取っていただいてもよろしいでしょうか。
どうぞよろしくお願いいたします。 連絡取れました ご連絡頂きましてありがとうございます。引き続きよろしくお願いいたします。 開始した 終了します。お疲れ様でした。 松本さん
お疲れ様です、CREWの坂口です。本日も遅くまでご参加頂きまして、ありがとうございました。ドライブモードをオフにしてお気を付けてお帰りください。ゆっくりお休みください😊 松本さん、こんにちは🌈いつもありがとうございます。CREWの下橋場です。
本日20時～27時でのご参加ありがとうございます😌開始の際に一言いただけますと幸いです✨
本日もお気をつけて、よろしくお願いします😊 今日はお休みさせてください。申し訳ありません。 松本さん
ご連絡いただきありがとうございます。かしこまりました。本日のキャンセル承りました。次回ご参加の際はよろしくお願いいたします。 きゃんどねチェックしゃす！ 👍 松本さん
いつもご参加ありがとうございます。CREWの菅原です。
本日20〜27時でお願いいたします。
最近は雨が多くてジメジメしますね🐌本日もよろしくお願いいたします。 これから参加します。よろしくお願いします 返信します。 松本さん、こんばんは。CREWサポートチームの内場です。よろしくお願いします😊"
22398242370,"お疲れ様です。本日、1800前に更新後の運転免許証(表面)を御社のフォームで送信してありますが、届いておりますでしょうか？ご確認願います。 対応します。 小石さんご連絡いただきましてありがとうございます。CREWの宮崎です。免許証をフォームで送信していただきましてありがとうございました。明日以降担当者よりご連絡させていただきますので今しばらくお待ちくださいませ。宜しくお願い致します。 CREWパートナーサポート  承知いたしました。よろしくお願いいたします。 CREWパートナーサポート  書類チェックの人🚗？？？？ 野木  小石さん
CREWの野木です。
書類のご提出ありがとうございました。確認したところ、内容に不備がございました。
お手数ですが、
【免許証：画像不鮮明にて内容が確認出来ないため】
上記内容が記載されている書類全体の画像を再度、下記提出フォームからお送りください。
https://form.run/@crewcrewcrew
※ご提出後の更新に関しましてのご案内※・前日18:01～当日11:00までのご提出⇒当日12:00までに更新完了・当日11:01～当日18:00までのご提出⇒当日20:00までに更新完了(ご提出いただきました書類に不備がなかった場合)
お手数ですが、よろしくお願いいたします。"
22398280115,"森川終了します。 送ります 森川さん、お疲れ様です。CREWの真崎です。
本日も遅くまでご参加ありがとうございました。
次回もよろしくお願いします😊
それでは、長時間のドライブでお疲れかと思いますので、ご自宅までお気をつけておかえりくださいね。 森川さん、こんにちは🌈いつもありがとうございます。CREWの三浦です。本日22時～27時でのご参加ありがとうございます😌
本日もお気をつけて、よろしくお願いします😊"
22399213886,"終わります 対応します。 上田さんこんばんは。CREWの宮崎です。
本日もご参加いただきありがとうございました。お気をつけてお帰りください。ごゆっくりお休みくださいませ。お疲れ様でした。 上田さん、こんにちは🌈いつもありがとうございます。CREWの三浦です。本日22時～26時でのご参加ありがとうございます😌
本日もお気をつけて、よろしくお願いします😊 上田さん、お疲れ様です。
CREWの大内です。まもなく開始時間となります。
本日も安全運転でよろしくお願いいたします。"
22402287833,"6月7日の新宿から板橋のライド評価が来ません。よろしくお願いします。 山崎さん
CREWの菅原です。
未決済のドライブに関しましては、当社で自動的に検知しライダーにお支払いをお願いする連絡を行っております。
また、万一ドライブ後30日が経過しても決済が行われない場合は、その日から7日以内に弊社よりお支払いいたしますので、ご安心ください。
何卒よろしくお願いいたします。"
22402630375,"This message was deleted. このメッセージは削除されました CS書類 油井さん
書類のご提出ありがとうございます。CREWの菅原です。大変恐縮ではございますが、お送りいただきました書類は個人情報保護の観点より削除させていただきます。
更新後の書類につきましては、(1)【車検証の表面の全体写真（裏面不要）】(2)任意保険証の【①ご契約者様】【②ご契約のお車のナンバー（車両番号）】【③有効期限】【④対人賠償額】【⑤対物賠償額】【⑥対物賠償の免責額】
以上6点が確認出来る鮮明なお写真を下記のURLよりご提出をお願いいたします。
▼提出サイトhttps://form.run/@crewcrewcrew
あわせましてご提出後の更新に関しましてのご案内です。ご提出・前日18:01～当日11:00 　⇒　当日12:00までに更新完了ご提出・当日11:01～当日18:00　 ⇒　当日20:00までに更新完了(ご提出いただきました書類に不備がなかった場合)
お手数おかけいたしますが、よろしくお願いいたします。 講習会未受講"
22403190696,"お疲れ様です。システムについて確認させて頂ければと思いますので宜しくお願い致します。①ライダーの乗車のスタートのタイミングはどの時点からのスタートでしょうか？②到着してその場にまだ居ないケースがあり、クルースタッフの方から、乗られましたか？と確認の連絡があった際、返信は何処からするのでしょうか？通常のやりとりをさせて頂くメールから返信しようとしましたが、そこには着信メッセージが無く、返信の仕方が分かりません。
参考ライダーが待っていても来ないので、他アプリを裏画面で見ていたら、裏画面のクルーの到着連絡ボタンが押され（反応して）ボタンがシートベルト確認画面に遷移し、上記②のタイミングだった為、他ボタン（クルースタッフへの連絡ボタン等）が押せない状況でした（また、ライダーへもいつ、到着するか連絡が出来ない状況でした） CS質問 ①シートベルト押した時点？
②アプリで返信できるよ！スクショ付きで多分メールから返信系男子？？😢
参考バックグラウンドにしてるとそうゆう誤タップがあるのですね😢笑不具合かなあ。。 菅原 ちぇ。お手隙の際オネシャス 三浦 ①は「ドライブの開始時間から、終了時間までがシステム利用料の発生する時間」が回答になるっぽいですね、、、(テンプレ参照)②は多分そうなんですけど、インターコムからの乗りましたか？的なこっちからのメッセージ履歴が確認できないです😱💦到着してから自動でポップアップが出る仕様とか、聞いたこと無いですよね、、、？不具合も聞いたこと無いから詳細聞いたほうが良さそうですね、、、 👍 ありがとうございます！❤️ 有馬さんこんにちは。crewの三浦です。ご返信が遅くなり申し訳ございません。
① 有馬さんこんにちは。crewの三浦です。ご返信が遅くなり申し訳ございません。
①乗車のスタートのタイミングに関しましてドライブの開始時間から、終了時間までがシステム利用料の発生する時間でございます。
②に間しまして「乗られましたか？」のメッセージは履歴が出てこない使用となっております。
アプリをバックグラウンドにしていたら、勝手に到着連絡ボタンが押されていたと言うことでしょうか。 ご連絡有難うございます。度々すみません。①については、シートベルトの確認後からの開始という理解でよろしいでしょうか？②については、通常のメッセージでの返信が必要なのでしょうか？若しくは、一定時間後の自動リマインド等の為遅れて到着する事をドライバーが把握していれば返信の必要は無いのでしょうか？アプリはバックグラウンドで画面操作をしていたら、クルーアプリのボタンが押されたと認識しておりますが、不確実な為、その様な現象が再度発生しましたら、改めてご連絡させて頂きますので宜しくお願い致します。 一時対応でよろしいでしょうか。 私たちで案内できるかを確認してください ①については仰る通りでございます。　合流後にシートベルト押してスタートされた時からが開始時間となります。
②に関しましては、私共CREWオペレーターより、こちらのチャットからご連絡させていただくこともございますが、もしドライブ中の場合でしたら、ドライブが完了されてからで大丈夫です。
また、バックグラウンドで画面操作をされていた際に、クルーアプリのボタンが押されたと認識されたとのことですが、そのような場合には一度アプリ又は端末の再起動をお願いできますでしょうか。
それでも変わらない場合は、お手数ですが同じ画面になられた時のスクリーンショットも送っていただければと思います。
宜しくお願い致します。 杉山  さん　確認をお願い致します。 ①については、有馬さん、CREWライダーがシートベルトの確認ボタンを押していただき、「出発する」というボタンを押していただきますと、開始となります。②については、基本何かのイレギュラーなことが発生した場合をのぞいて、問題なくドライブいただいているときには、私共からご連絡をさせていただくことはございません。また自動リマインドメッセージの機能もございません。そのため、CREWよりメッセージが届いた際には、届いたメッセージにご返信いただければと思います。もしドライブ中の場合でしたら、ドライブが完了されてからで大丈夫です。また、バックグランド上で何か操作をされた際。不具合と思われることがございましたらお手数ですが、再度ご連絡をいただければと思います。
お手数をおかけしますが、よろしくお願いいたします。 適宜、漢字とか間違ってたら直してください 有馬さん　ご連絡が遅くなり申し訳ございません。CREWの矢島です。
①については、有馬さん、CREWライダーがシートベルトの確認ボタンを押していただき、「出発する」というボタンを押していただきますと、開始となります。②については、基本何かのイレギュラーなことが発生した場合を除き、ドライブいだいているときには、私共からご連絡をさせていただくことはございません。また自動リマインドメッセージの機能もございません。そのため、CREWよりメッセージが届いた際には、届いたメッセージにご返信いただければと思います。もしドライブ中の場合でしたら、ドライブが完了されてからで大丈夫です。また、バックグランド上で何か操作をされた際、不具合と思われることがございましたら、お手数ですが、再度ご連絡をいただければと思います。
お手数をおかけしますが、よろしくお願いいたします。 杉山  さん　ありがとうございます。送ります。 有馬さん　ご連絡が遅くなり申し訳ございません。CREWの矢島です。
①については、有馬さん、CREWライダーがシートベルトの確認ボタンを押していただき、「出発する」というボタンを押していただきますと、開始となります。②については、基本何かのイレギュラーなことが発生した場合を除き、ドライブいだいているときには、私共からご連絡をさせていただくことはございません。また自動リマインドメッセージの機能もございません。そのため、CREWよりメッセージが届いた際には、届いたメッセージにご返信いただければと思います。もしドライブ中の場合でしたら、ドライブが完了されてからで大丈夫です。また、バックグランド上で何か操作をされた際、不具合と思われることがございましたら、お手数ですが、再度ご連絡をいただければと思います。
お手数をおかけしますが、よろしくお願いいたします。 承知しました。システムの理解不足で何度もすみません。ライダーをもう乗せましたか？とメッセージが届いたものに返信しょうとした所、メッセージが消えてしまい、何処から返信すれば分からず探しても見つからず、何処から返信すれば宜しいでしょうか？急ぎませんので、お時間のある時で構いませんので宜しくお願い致します。 対応します 杉山 伊藤 「ライダーを乗せましたか？」っていうのは、CREW側か何かからのポップアップか何かの表示でしょうか？ 磯辺 到着していたとすると、次の操作を促すためのポップだと思います。そのタイミングで、アプリが落ちたので、いったん再起動してもらうと、正常になる可能性があります 了解しました！ありがとうございます！ 有馬さん、こんばんは。CREWの磯辺です。既に出発地に着いてからそのメッセージが届いたとのことでお間違いないでしょうか。こちらは次の操作を促すためのアプリ自体のポップアップだと思いますので、そちらにはご返信できかねます。もしよろしければ、お手すきの際にアプリの再起動及び携帯電話端末の再起動をしていただけますと幸いです。
よろしくお願いいたします。 有馬さん、こんばんは。CREWの磯辺です。既に出発地に着いてからそのメッセージが届いたとのことでお間違いないでしょうか。こちらは次の操作を促すためのアプリ自体のポップアップだと思いますので、そちらにはご返信できかねます。もしよろしければ、お手すきの際にアプリの再起動及び携帯電話端末の再起動をしていただけますと幸いです。
よろしくお願いいたします。"
22404467156,"今日参加できますか？又、確認したいのですが、6/1に行った振り込み申請はいつ頃反映されますか？ ちぇ中 https://api.crewcrew.jp/admin/driver_payouts/3425 17,825入金依頼完了 やります😗 👍 竹田さんこんにちは。crewの三浦です。ご返信が遅くなり申し訳ございません。
本日20時〜27時参加可能でございます🚗
こちらで確認いたしましたが6月1日に振込申請6月4日にお振込［17,825］が完了しております。 本日上記の時間でお願いします。
振込完了通知が来ていなかったので、疑問に思いました。口座の方、確認してみます。 承知いたしました。本日20時-27時参加枠をお取りいたします。🚗
本日もよろしくお願いいたします。
振込に関しまして、またご不明な点、振込されてない等何かございましたらこちらにご連絡いただきますようお願いいたします。 チェッくお願いします 🙆 竹田さん、こんばんは。CREWの高橋です。本日もご参加ありがとうございます。アプリ上のMAPを参考にお好きな場所からドライブを始めていただいて下さいね。安全運転でいってらっしゃいませ。よろしくお願いいたします😊 竹田さん、CREWの東浜です。本日も遅い時間まで参加していただきありがとうございました。ドライブモードをオフにして、お気をつけてお帰りください。
ゆっくり休んでくださいね😊またのご参加お待ちしております。"
22404540403,"連絡が反映されてないので、再度送ってください。 松井様
CREWパートナーサポートです。行き違いの連絡となり申し訳ありません。
先ほど送った内容は下記のものとなります。
-------初回のドライブが2日後の6月13日となっておりますが、本審査に必要となる書類の提出がまだのようでしたのでご連絡いたしました。本日中にご提出頂けなかった場合、本審査が実施できず初回ドライブをキャンセルさせていただきますのでご了承くださいませ。
▼書類の提出方法下記提出サイトよりご提出ください。https://form.run/@crew
なお、必要な書類は以下の４つです。・おクルマ外観の画像(縦横比率1:2推奨)・免許証の画像・車検証の画像・任意保険証の画像ほとんどの場合、全ての書類はおクルマのダッシュボードの中にございますのでご安心ください
なお、本審査の合否に関しては書類提出より24時間以内にこちらのチャットにてご連絡いたします。--------------
ご確認の程、よろしくお願いいたします。 松井様CREWパートナーサポートです。
現時点で書類のご提出が確認できませんでしたので明日6/13の初回ドライブはキャンセルさせていただきます。改めて予約をご用意させていただきますのでご安心ください。
初回ドライブは、下記日程で実施しております。月曜〜金曜　①19:00〜②20:00〜③21:00~土日祝　　　①19:00〜②20:00〜ご予約は3週間先までの日程を承ります。※本日ご予約をとる場合は7/3(水曜日)までが予約可能
こちらで調整いたしますので、ご希望の日程と開始時間をご提示していただけますと幸いです。
尚、書類のご提出も随時受け付けております。お手元にご用意出来ましたら下記登録サイトよりご提出お願いします。
▼書類の提出方法下記提出サイトよりご提出ください。https://form.run/@crew
それではご連絡お待ちしておりますので、何卒よろしくお願いいたします。"
22405427835,"自身のドライバーのマイページの紹介文や写真って変更できますか？ 熊倉さん
お問い合わせありがとうございます。CREWの菅原です。
お車のお写真のご変更や、紹介文のご変更はこちらのチャットより承ります😊"
22405600822,"建築施工管理をしている30代です。休みの日は千葉や茨城へ波乗りに行きます。事故の無いよう安全を心掛けた運転で目的地までお送りいたします。また充電器等必要な方は気兼ねなく仰って下さい。
↑紹介文これでお願いします。 やり！ どね 熊倉さんこんにちは。crewの三浦と申します。プロフィール文変更承知いたしました🚗こちらで変更させていただきました。 本日21時～27時でのご参加ありがとうございます😌
本日もお気をつけて、よろしくお願いします😊 すみません本日仕事で参加出来なくなりました。 対応します 熊倉さん
ご連絡いただき有難うございます。CREWの大内です。
お仕事でお忙しい中でのご連絡お手数をお掛け致しました。キャンセルとの事、承りました。
また次回のご参加を心よりお待ちしております。 熊倉さん
ご連絡いただき有難うございます。CREWの大内です。
お仕事でお忙しい中でのご連絡お手数をお掛け致しました。キャンセルとの事、承りました。
また次回のご参加を心よりお待ちしております。 シフト確認お願いします　37行目シフトキャンセル済み 確認します 確認しましたクローズします"
22407108805,"お世話になります。本日２０時半から２７時まで参加します やり 塩谷さん、こんにちは。CREWの須藤です。本日20時半〜27時でご予約お取りしました🌟
開始の際は一言こちらまでお知らせください。それでは、本日もよろしくお願いします🚗💨 しふどねちぇけら おｋです ありがとうございます 塩谷さん、こんばんは。CREWの高橋です。本日もご参加ありがとうございます。アプリ上のMAPを参考にお好きな場所からドライブを始めていただいて下さいね。安全運転でいってらっしゃいませ。よろしくお願いいたします😊 お世話になります。今から参加します。 対応します 塩谷さん
ご連絡いただき有難うございます。CREWの大内です。
かしこまりました。本日もよろしくお願いいたします。お気を付けて行ってらっしゃいませ😊 塩谷さん
ご連絡いただき有難うございます。CREWの大内です。
かしこまりました。本日もよろしくお願いいたします。お気を付けて行ってらっしゃいませ😊 ありがとうございます 終了連絡 塩谷さん、お疲れ様です。CREWの磯辺です。
本日も遅くまでご参加いただき、ありがとうございました。お気を付けてお帰りください。次回のご参加をお待ちしております😊 ありがとうございます お世話になります。
本日空きあれば20時から27時まで参加します 🌵 塩谷さん、こんにちは🌷CREWの小松です。本日参加枠に空きがございますので20時〜27時でよろしくお願いいたします😊開始の際に一言いただけますと幸いです✨ Wおね！ 🍄 お世話になります。今から参加です。 塩谷さん、こんばんは。CREWの友池です。間もなく開始時間となります。本日も安全運転でドライブよろしくお願いいたします😊 ありがとうございます 終了後連絡 塩谷さん
お疲れ様です、CREWサポートチームの坂口です。本日も遅くまでご参加頂きまして、ありがとうございました。ゆっくりお休みください😊次回もお待ちしております。 ありがとうございます お世話になります。本日空きあれば20月から27時まで参加します。 失礼しました。20時から27時です。 Shioyaさん、こんにちは🌈いつもありがとうございます。CREWの坂本です。本日20時～27時でのご参加ありがとうございます😌
本日もお気をつけて、よろしくお願いします😊 Wチェックおね🐣 OK 今から参加します 塩谷さん、お疲れ様です。CREWサポートチームの阿部です。。
ご連絡ありがとうございます。本日も安全運転でよろしくお願いいたします。
お気をつけて行ってらっしゃいま 塩谷さん、お疲れ様です。CREWサポートチームの阿部です。。
ご連絡ありがとうございます。本日も安全運転でよろしくお願いいたします。
お気をつけて行ってらっしゃいませ。 ありがとうございます ドライブ終了します 塩谷さん
本日も遅い時間まで参加していただきありがとうございました。
こちらのお時間をもちましてサービス時間が終了となりました。
ドライブモードをオフにして、お気をつけてお帰りください。
ゆっくり休んでくださいね。 塩谷さん
本日も遅い時間まで参加していただきありがとうございました。
こちらのお時間をもちましてサービス時間が終了となりました。
ドライブモードをオフにして、お気をつけてお帰りください。
ゆっくり休んでくださいね。 ありがとうございます"
22407761734,"今日も飛び入りで参加します。とりあえず27時まで 対応します 宮崎さん
お疲れ様です。CREWの阿部です。ご連絡ありがとうございます。
本日、只今のお時間20時～27時までのご予約で宜しいでしょうか。
お手数ですが、開始のお時間をご連絡下さい。どうぞ宜しくお願い致します。 宮崎さん
お疲れ様です。CREWの阿部です。ご連絡ありがとうございます。
本日、只今のお時間20時～27時までのご予約で宜しいでしょうか。
お手数ですが、開始のお時間をご連絡下さい。どうぞ宜しくお願い致します。 開始のお時間の返信待ち 出発してます 送ります 宮崎さん　ご連絡ありがとうございます。CREWの矢島です。
かしこまりました。只今のお時間～27時までおとりいたしました。本日も安全運転でお願い致します。いってらっしゃいませ😊お願いいたします。 シフトシート確認お願いします。本日、69行目　宮崎さん 確認します 矢島 OKです。クローズします 本日はこれで終了です 実際に通ったルートと、履歴で表示されるルートが違うのは仕様でしょうか します 宮崎さん、CREWの東浜です。
履歴で表示されているルートは、ナビで算出されたものとなっております。実際、ナビとは違うルートでのドライブをされましても、履歴に反映はされませんので、ご了承ください。
また、本日もご参加いただきましてありがとうございます。次回もどうぞよろしくお願い致します。"
22407788831,"こんばんは、軽く1時間ぐらい出来ます！よろしくおねがいします 対応します 恵利さん
ご連絡頂き有難うございます。CREWの大内です。
かしこまりました。参加枠を20時～21時で確保させていただきます。本日も安全運転でお願いいたします。
お気を付けて行ってらっしゃいませ😊 恵利さん
ご連絡頂き有難うございます。CREWの大内です。
かしこまりました。参加枠を20時～21時で確保させていただきます。本日も安全運転でお願いいたします。
お気を付けて行ってらっしゃいませ😊 シフト確認お願いします　本日63行目シフト追加済み 確認します 大内 OKです。クローズします。 本日もありがとうございます😊 恵利さん お疲れ様です。CREWの高橋です。本日も遅い時間までご参加いただきありがとうございました。  ごゆっくりお休みください。お疲れ様でした😊 恵利さん
CREWの菅原です。昨日もドライブお疲れ様でした🌟
CREWのサービスに対してのご感想をお伺いしております。下記のリンクより簡単なアンケートにご協力下さい。https://goo.gl/forms/euMaCqlXAzSQaYF33
今後のCREWパートナー活動については、20時から27時の間のご都合の良い時にドライブモードをONにしていただければご利用が可能です。また、お手数ですが27時を過ぎましたら必ずドライブモードをOFFにしていただきますようお願いいたします。
引き続き今後もサポートさせていただきますので、ご不明な点がございましたらお気軽にご連絡ください。今後ともCREWをよろしくお願いいたします😊 質問ですが？トイレ休憩とか、右の上のスイッチ切った方がいいのですか？ あっ、あと、ライダーが、ドライバーを、指名することは、出来ますか？ 菅原  トイレ休憩の際はドライバーモードはOFFにしていただけますと幸いです。
また、現在、CREWではCREWパートナーを指定して呼ぶことはできません。ご要望にお応えできず、申し訳ございません。CREWライダーが指定した出発地点（青ピン）から最も近いCREWパートナーにドライブ依頼が届くようになっております。
また何かご不明点等ございましたらお問い合わせいただけますと幸いです。何卒よろしくお願いいたします。 ありがとうございました😊 恵利さん
アンケートにご協力いただきありがとうございます🍀
ご入力いただいたコメントは、今後のサービス改善の参考にさせていただきます。今後ともどうぞよろしくお願いいたします。 アプリが開けなくて、どうすれば良いでしょうか  iPhoneから送信  2019/06/12 19:03、菅原 CREWから &lt;support-17b98462b34e@crew-db58cdb177d1.intercom-mail.com&gt;のメール:    恵利さんアンケートにご協力いただきありがとうございますhttps://crew-db58cdb177d1.intercom-mail.com/images/emojis/32x32/1f340.pngご入力いただいたコメントは、今後のサービス改善の参考にさせていただきます。  今後ともどうぞよろしくお願いいたします。 対応します。 https://api.crewcrew.jp/admin/users/52367#drive_history 恵利さん
こんばんは。CREWサポートチームの阿部です。ご連絡ありがとうございます。
アプリが開けないとの事ですが、一旦端末とアプリの再起動をお願いできますでしょうか。
お手数おかけいたしますが、どうぞ宜しくお願い致します。 恵利さん
こんばんは。CREWサポートチームの阿部です。ご連絡ありがとうございます。
アプリが開けないとの事ですが、一旦端末とアプリの再起動をお願いできますでしょうか。
お手数おかけいたしますが、どうぞ宜しくお願い致します。 電源落として、直りました！ありがとうございます😊 対応します。 恵利さんCREWサポートチームの阿部です。再度ご連絡ありがとうございます。
アプリがなおって、良かったです。
また何かございましたら、ご連絡下さい。どうぞ宜しくお願い致します。 恵利さんCREWサポートチームの阿部です。再度ご連絡ありがとうございます。
アプリがなおって、良かったです。
また何かございましたら、ご連絡下さい。どうぞ宜しくお願い致します。 恵利さんこの度、初回限定のスターキャンペーンの期間が10日を経過しましたので、お知らせいたします📣現在、恵利さんが獲得した星の数は 30個です🌟初回ドライブから30日以内にこの星を100個集めるとamazonギフト券10,000円分がもらえるプログラムですので、是非お時間ある際にご参加ください🚙💨"
22407828924,"お世話になっております。今月のドライブ予定を送信させていただきます。
６／13６／14６／15６／16６／21６／22６／29
上記になります。よろしくお願いします。 対応します ご確認をお願いいたします。５/31以降ご参加の方はドライブスケジュールシートの廃止になるかと思いますが、このようなご案内でよろしいでしょうか。https://api.crewcrew.jp/admin/users/38543#drive_history6/6が初回、6/7参加。次回3回目なので自由にご参加可能。
齊藤さん
ご連絡いただき有難うございます。CREWの大内です。
今月ご参加予定のご案内をいただき有難うございます。当日はドライブモードをオンにしていただき、アプリ上のMAPを参考にお好きな場所からドライブを始めてください。
ご参加を心よりお待ちしております。 杉山 すみませんが、わからないので、ご確認をお願いいたします！ はい、それでOkです 高橋 杉山 お手数をお掛け致しました。有難うございます🙇 齊藤さん
ご連絡いただき有難うございます。CREWの大内です。
今月ご参加予定のご案内をいただき有難うございます。
当日はドライブモードをオンにしていただき、アプリ上のMAPを参考にお好きな場所からドライブを始めてください。また、20時～27時の間でお好きなお時間でご参加くださいませ。
ご参加を心よりお待ちしております。 ご連絡いただきありがとうございます！
参加予定以外の日に急遽参加することは可能でしょうか？ 対応します 齊藤さん
ご連絡いただき有難うございます。CREWの大内です。
ご参加予定以外の日ももちろんご参加くださいませ。その際も20時～27時の間でお好きなお時間でご参加ください。
今後ともよろしくお願いいたします。 齊藤さん
ご連絡いただき有難うございます。CREWの大内です。
ご参加予定以外の日ももちろんご参加くださいませ。その際も20時～27時の間でお好きなお時間でご参加ください。
今後ともよろしくお願いいたします。 わかりました。ありがとうございます！！
より、ライダーの方々に快適にドライブを楽しんで頂くために水、お茶、コーヒーを用意しようかと思っていますが、何か他に満足度を上げるアイディアがありましたらご教授していただけますか？ 対応します 伊藤 杉山 ご確認をお願いいたします。ライダー向けにドリンクをご用意とかは特に問題ございませんか？例えばそのドリンクをこぼしてしまって車内を汚されたとかクレームになったり。。。
*******************************
齊藤さん
CREWライダーへのおもてなし、そういった事を考えていただきとても温かい気持ちになりました。有難うございます。
満足度は、CREWライダーとの車内でのやりとり、相手も一般人であるという前提でのコミュニケーション、お車を大切にされている方の車内空間を共有することに対してのホスピタリティ等を、より意識していくことを心がけてみていただけますと幸いです。
齊藤さんのご活躍を期待しております。ご参加を楽しみにお待ちしております。 伊藤 これってどうなんでしょうね。。。前にありましたか？ 杉山 聞かれたことはなかったと思いますが、お水を用意していたパートナーはいらっしゃったと思います。あとは口に入るものなので自己責任的なところがありますかね・・・ ライダーはうれしいと思いますが ですよね。。。ありがとうございます。ライダーからしたらうれしいですよね！
大内 作っていただいた文章で大丈夫です 伊藤 杉山 有難うございます。こちらはissue必要でしょうか 念のため、報告の意味でお願いします 杉山 かしこまりました。有難うございます。 齊藤さん
ご連絡いただき有難うございます。CREWの大内です。
順次対応しており、ご返信にお時間を頂戴してしまい申し訳ございません。
CREWライダーへのおもてなし、そういった事を考えていただきとても温かい気持ちになりました。有難うございます。
満足度は、CREWライダーとの車内でのやりとり、相手も一般人であるという前提でのコミュニケーション、お車を大切にされている方の車内空間を共有することに対してのホスピタリティ等を、より意識していくことを心がけてみていただけますと幸いです。例えば、車内を清潔にしておく、丁寧な運転を心がけるなどでしょうか。
齊藤さんのご活躍を期待しております。ご参加を楽しみにお待ちしております。
また何かございましたら、お問合せくださいませ。 issue アドバイスいただきありがとうございます。
人から感謝されるのって素晴らしい事ですし、嬉しいですよね。先日、初めてCREWを利用させていただいた時もたくさん感謝の言葉をいただき心が満たされました。自分の存在価値を認めていただけているみたいで幸せな気持ちになれました。CREWはとても素敵なアプリです。
洗車は今までも好きだったのでやっていましたが快適な室内空間を提供出来るよう、室内洗浄や香りにも拘っていきたいと思います。私、ホスピタリティ検定3級の資格を有しておりますので存分におもてなしの心を発揮したいと思います。
これからもよろしくお願い致します。 対応します 斎藤さん
ご返信いただき有難うございます。
人から感謝されるのは本当にやりがいを感じられますし、喜びにつながりますよね。とても有難いお言葉をいただき有難うございます。私共CREWスタッフ一同、励みになります。社内で情報を共有させていただきます。
ホスピタリティ検定ですか。とても素晴らしいですね😊努力されていらっしゃって尊敬いたします。斎藤さんのご活躍が今から楽しみです。今後ともCREWをよろしくお願いいたします。 斎藤さん
ご返信いただき有難うございます。
人から感謝されるのは本当にやりがいを感じられますし、喜びにつながりますよね。とても有難いお言葉をいただき有難うございます。私共CREWスタッフ一同、励みになります。社内で情報を共有させていただきます。
ホスピタリティ検定ですか。とても素晴らしいですね😊努力されていらっしゃって尊敬いたします。斎藤さんのご活躍が今から楽しみです。今後ともCREWをよろしくお願いいたします。 issue https://api.crewcrew.jp/admin/customer_support_issues/6398ご確認をお願いいたします。 イシュー 岩瀬 "
